"ID","Age","graph_lit","Numeracy"
1,72,40,12
10,53,46,8
100,43,32,10
101,62,21,9
102,64,31,9
103,75,49,9
104,49,38,7
105,57,20,6
106,81,27,4
107,84,37,11
108,42,54,6
109,76,22,9
11,73,38,13
110,43,33,10
111,76,48,8
112,54,39,11
113,50,29,11
114,85,46,11
115,78,44,12
116,43,33,8
117,76,32,9
118,52,41,2
119,78,29,10
12,69,36,14
120,28,39,9
121,49,23,6
122,49,41,10
123,48,33,8
124,36,38,1
125,78,35,11
126,48,38,12
127,30,48,9
128,39,21,1
129,49,43,13
13,58,41,5
130,54,35,3
131,26,56,3
132,46,19,11
133,48,30,11
134,49,37,13
135,42,35,6
136,39,18,10
137,50,57,9
138,48,31,11
139,45,41,12
14,30,58,2
140,34,42,2
141,30,38,13
142,52,31,9
143,27,34,6
144,47,10,7
145,37,44,12
146,48,39,8
147,36,36,9
148,30,38,12
149,43,18,3
15,62,40,6
150,46,51,9
151,45,35,9
152,48,36,10
153,40,39,1
154,53,16,4
155,49,45,13
156,52,40,10
157,35,55,6
158,47,33,4
159,42,10,1
16,61,27,9
160,41,41,6
161,47,32,8
162,35,33,6
163,43,39,9
164,43,24,11
165,40,41,12
166,27,38,10
167,75,41,11
168,44,31,8
169,38,53,13
17,64,38,10
170,73,38,7
171,65,21,4
172,71,26,12
173,65,41,10
174,70,29,8
175,66,36,11
176,70,14,6
177,75,27,3
178,40,45,11
179,75,19,8
18,64,58,10
180,80,23,9
181,40,45,5
182,77,38,9
183,38,36,12
184,75,39,8
185,78,15,5
186,80,17,8
187,34,22,9
188,28,27,12
189,31,37,7
19,74,38,11
190,32,30,7
191,28,32,1
192,27,30,10
193,33,48,8
194,34,45,0
195,25,52,3
196,34,35,13
197,30,58,1
198,26,41,9
199,34,28,6
2,55,32,2
20,59,38,6
200,33,20,10
201,28,50,11
202,31,32,9
203,28,21,5
204,30,58,4
205,27,27,12
206,25,29,4
207,31,35,9
208,27,50,11
209,30,30,12
21,68,40,8
210,34,31,7
22,69,39,12
23,67,51,13
24,42,27,7
25,72,48,13
26,84,10,7
27,63,47,11
28,68,40,13
29,56,34,3
3,44,39,7
30,74,44,10
31,62,10,4
32,71,32,11
33,68,42,12
34,57,31,11
35,70,36,12
36,64,31,12
37,73,41,6
38,64,52,12
39,60,48,9
4,71,45,11
40,69,36,10
41,75,44,10
42,67,39,13
43,59,46,11
44,74,44,10
45,64,31,7
46,72,51,12
47,53,32,10
48,69,27,7
49,76,49,10
5,38,43,11
50,40,30,4
51,57,31,12
52,38,58,7
53,57,30,5
54,77,34,7
55,64,47,11
56,73,23,11
57,44,42,1
58,59,21,10
59,57,23,10
6,50,42,12
60,64,41,10
61,76,45,13
62,69,26,6
63,53,48,14
64,72,42,7
65,63,44,11
66,30,49,12
67,67,41,10
68,60,20,12
69,71,32,8
7,70,43,5
70,71,32,13
71,77,51,13
72,77,50,9
73,78,27,9
74,65,42,12
75,54,45,11
76,55,47,13
77,79,42,9
78,81,23,8
79,64,10,7
8,77,55,12
80,78,12,10
81,35,28,8
82,75,30,10
83,62,49,12
84,37,42,12
85,62,39,11
86,48,46,3
87,63,30,9
88,56,30,10
89,62,45,11
9,39,40,13
90,30,32,5
91,76,30,9
92,49,35,9
93,52,34,13
94,56,43,12
95,78,46,9
96,36,44,8
97,78,40,10
98,35,36,12
99,77,14,9
